Case	Topic	Notes
United States v. United States District Court 407 u.s. 297 (1972)	Criminal	
Furman v. Georgia 408 u.s. 238 (1972)	Criminal	
United States v. Brewster 408 u.s. 501 (1972)	Criminal	
Roe v. Wade 410 u.s. 113 (1973)	Criminal	
Schneckloth v. Bustamonte 412 u.s. 218 (1973)	Criminal	
Miller v. California 413 u.s. 15 (1973)	Criminal	
Paris Adult Theatre I v. Slaton 413 u.s. 49 (1973)	Criminal	
United States v. Calandra 414 u.s. 338 (1974)	Criminal	
United States v. Kahn 415 u.s. 143 (1974)	Criminal	
United States v. Matlock 415 u.s. 164 (1974)	Criminal	
Davis v. Alaska 415 u.s. 308 (1974)	Criminal	
Smith v. Goguen 415 u.s. 566 (1974)	Criminal	
Jenkins v. Georgia 418 u.s. 153 (1974)	Criminal	
Spence v. Washington 418 u.s. 405 (1974)	Criminal	
United States v. Nixon 418 u.s. 683 (1974)	Criminal	
Schick v. Reed 419 u.s. 256 (1974)	Criminal	
Taylor v. Louisiana 419 u.s. 522 (1975)	Criminal	
Murphy v. Florida 421 u.s. 794 (1975)	Criminal	
Bigelow v. Virginia 421 u.s. 809 (1975)	Criminal	
United States v. Watson 423 u.s. 411 (1976)	Criminal	
Doyle v. Ohio 426 u.s. 610 (1976)	Criminal	
Nebraska Press Assn. v. Stuart 427 u.s. 539 (1976)	Criminal	
Gregg v. Georgia 428 u.s. 153 (1976)	Criminal	
Proffitt v. Florida 428 u.s. 242 (1976)	Criminal	
Jurek v. Texas 428 u.s. 262 (1976)	Criminal	
Woodson v. North Carolina 428 u.s. 280 (1976)	Criminal	
South Dakota v. Opperman 428 u.s. 364 (1976)	Criminal	
Estelle v. Gamble 429 u.s. 97 (1976)	Criminal	
Brewer v. Williams 430 u.s. 387 (1977)	Criminal	
Castaneda v. Partida 430 u.s. 482 (1977)	Criminal	
Moore v. City of East Cleveland 431 u.s. 494 (1977)	Criminal	
Coker v. Georgia 433 u.s. 584 (1977)	Criminal	
Ballew v. Georgia 435 u.s. 223 (1978)	Criminal	
Crist v. Bretz 437 u.s. 28 (1978)	Criminal	
Mincey v. Arizona 437 u.s. 385 (1978)	Criminal	
Lockett v. Ohio 438 u.s. 586 (1978)	Criminal	
Bell v. Ohio 438 u.s. 637 (1978)	Criminal	
Delaware v. Prouse 440 u.s. 648 (1979)	Criminal	
Burch v. Louisiana 441 u.s. 130 (1979)	Criminal	
Brown v. Texas 443 u.s. 47 (1979)	Criminal	
"Gannett Co., Inc. v. DePasquale 443 u.s. 368 (1979)"	Criminal	
Rhode Island v. Innis 446 u.s. 291 (1980)	Criminal	
United States v. Mendenhall 446 u.s. 544 (1980)	Criminal	
Ohio v. Roberts 448 u.s. 56 (1980)	Criminal	
"Richmond Newspapers, Inc. v. Virginia 448 u.s. 555 (1980)"	Criminal	
Chandler v. Florida 449 u.s. 560 (1981)	Criminal	
Schad v. Borough of Mount Ephraim 452 u.s. 61 (1981)	Criminal	
Washington v. Chrisman 455 u.s. 1 (1982)	Criminal	
Eddings v. Oklahoma 455 u.s. 104 (1982)	Criminal	
Globe Newspaper Co. v. Superior Court 457 u.s. 596 (1982)	Criminal	
New York v. Ferber 458 u.s. 747 (1982)	Criminal	
Enmund v. Florida 458 u.s. 782 (1982)	Criminal	
Illinois v. Gates 462 u.s. 213 (1983)	Criminal	
Michigan v. Long 463 u.s. 1032 (1983)	Criminal	
Pulley v. Harris 465 u.s. 37 (1984)	Criminal	
Oliver v. United States 466 u.s. 170 (1984)	Criminal	
Florida v. Meyers 466 u.s. 380 (1984)	Criminal	
Waller v. Georgia 467 u.s. 39 (1984)	Criminal	
United States v. Leon 468 u.s. 897 (1984)	Criminal	
Massachusetts v. Sheppard 468 u.s. 981 (1984)	Criminal	
California v. Carney 471 u.s. 386 (1985)	Criminal	
New York v. Class 475 u.s. 106 (1986)	Criminal	
Nix v. Whiteside 475 u.s. 157 (1986)	Criminal	
Batson v. Kentucky 476 u.s. 79 (1986)	Criminal	
Lockhart v. McCree 476 u.s. 162 (1986)	Criminal	
California v. Ciraolo 476 u.s. 207 (1986)	Criminal	
Ford v. Wainwright 477 u.s. 399 (1986)	Criminal	
Press-Enterprise Co. v. Superior Court 478 u.s. 1 (1986)	Criminal	
Bowers v. Hardwick 478 u.s. 186 (1986)	Criminal	
McCleskey v. Kemp 481 u.s. 279 (1987)	Criminal	
United States v. Salerno 481 u.s. 739 (1987)	Criminal	
Booth v. Maryland 482 u.s. 496 (1987)	Criminal	
Puerto Rico v. Branstad 483 u.s. 219 (1987)	Criminal	
California v. Greenwood 486 u.s. 35 (1988)	Criminal	
Thompson v. Oklahoma 487 u.s. 815 (1988)	Criminal	
South Carolina v. Gathers 490 u.s. 805 (1989)	Criminal	
Texas v. Johnson 491 u.s. 397 (1989)	Criminal	
Massachusetts v. Oakes 491 u.s. 576 (1989)	Criminal	
Penry v. Lynaugh 492 u.s. 302 (1989)	Criminal	
Stanford v. Kentucky 492 u.s. 361 (1989)	Criminal	
Osborne v. Ohio 495 u.s. 103 (1990)	Criminal	
Michigan Dep't of State Police v. Sitz 496 u.s. 444 (1990)	Criminal	
Maryland v. Craig 497 u.s. 836 (1990)	Criminal	
Ford v. Georgia 498 u.s. 411 (1991)	Criminal	
Arizona v. Fulminante 499 u.s. 279 (1991)	Criminal	
Powers v. Ohio 499 u.s. 400 (1991)	Criminal	
Florida v. Bostick 501 u.s. 429 (1991)	Criminal	
Harmelin v. Michigan 501 u.s. 957 (1991)	Criminal	
Dawson v. Delaware 503 u.s. 159 (1992)	Criminal	
Jacobson v. United States 503 u.s. 540 (1992)	Criminal	
Gomez v. United States District Court for the Northern District of California 503 u.s. 653 (1992)	Criminal	
Georgia v. McCollum 505 u.s. 42 (1992)	Criminal	
Helling v. McKinney 509 u.s. 25 (1993)	Criminal	
United States v. Armstrong 517 u.s. 456 (1996)	Criminal	
Ohio v. Robinette 519 u.s. 33 (1996)	Criminal	
United States v. Bajakajian 524 u.s. 321 (1998)	Criminal	
Chicago v. Morales 527 u.s. 41 (1999)	Criminal	
Hurtado v. California 110 u.s. 516 (1884)	Criminal Procedure	
Betts v. Brady 316 u.s. 455 (1942)	Criminal Procedure	
Brinegar v. United States 338 u.s. 160 (1949)	Criminal Procedure	
Massiah v. United States 377 u.s. 201 (1964)	Criminal Procedure	
Johnson v. Louisiana 406 u.s. 356 (1972)	Criminal Procedure	
Argersinger v. Hamlin 407 u.s. 25 (1972)	Criminal Procedure	
United States v. Armstrong 517 u.s. 456 (1996)	Criminal Procedure	
Florida v. J.L. 529 u.s. 266 (2000)	Criminal Procedure	
Louisiana ex rel. Francis v. Resweber 329 u.s. 459 (1947)	Cruel and Unusual Punishment	
Trop v. Dulles 356 u.s. 86 (1958)	Cruel and Unusual Punishment	
Robinson v. California 370 u.s. 660 (1962)	Cruel and Unusual Punishment	
Powell v. Texas 392 u.s. 514 (1968)	Cruel and Unusual Punishment	
Furman v. Georgia 408 u.s. 238 (1972)	Cruel and Unusual Punishment	
Gregg v. Georgia 428 u.s. 153 (1976)	Cruel and Unusual Punishment	
Proffitt v. Florida 428 u.s. 242 (1976)	Cruel and Unusual Punishment	
Jurek v. Texas 428 u.s. 262 (1976)	Cruel and Unusual Punishment	
Woodson v. North Carolina 428 u.s. 280 (1976)	Cruel and Unusual Punishment	
Estelle v. Gamble 429 u.s. 97 (1976)	Cruel and Unusual Punishment	
Ingraham v. Wright 430 u.s. 651 (1977)	Cruel and Unusual Punishment	
Coker v. Georgia 433 u.s. 584 (1977)	Cruel and Unusual Punishment	
Lockett v. Ohio 438 u.s. 586 (1978)	Cruel and Unusual Punishment	
Bell v. Ohio 438 u.s. 637 (1978)	Cruel and Unusual Punishment	
Eddings v. Oklahoma 455 u.s. 104 (1982)	Cruel and Unusual Punishment	
Enmund v. Florida 458 u.s. 782 (1982)	Cruel and Unusual Punishment	
Whitley v. Albers 475 u.s. 312 (1986)	Cruel and Unusual Punishment	
Ford v. Wainwright 477 u.s. 399 (1986)	Cruel and Unusual Punishment	
McCleskey v. Kemp 481 u.s. 279 (1987)	Cruel and Unusual Punishment	
Thompson v. Oklahoma 487 u.s. 815 (1988)	Cruel and Unusual Punishment	
Penry v. Lynaugh 492 u.s. 302 (1989)	Cruel and Unusual Punishment	
Stanford v. Kentucky 492 u.s. 361 (1989)	Cruel and Unusual Punishment	
Wilson v. Seiter 501 u.s. 294 (1991)	Cruel and Unusual Punishment	
Harmelin v. Michigan 501 u.s. 957 (1991)	Cruel and Unusual Punishment	
Hudson v. McMillian 503 u.s. 1 (1992)	Cruel and Unusual Punishment	
Dawson v. Delaware 503 u.s. 159 (1992)	Cruel and Unusual Punishment	
Gomez v. United States District Court for the Northern District of California 503 u.s. 653 (1992)	Cruel and Unusual Punishment	
Helling v. McKinney 509 u.s. 25 (1993)	Cruel and Unusual Punishment	
Atkins v. Virginia 00-8452 (2002)	Cruel and Unusual Punishment	
National Association for the Advancement of Colored People v. Claiborne Hardware Co. 458 u.s. 886 (1982)	Damages	
Franklin v. Gwinnett County Public Schools 503 u.s. 60 (1992)	Damages	
"BMW of North America, Inc. v. Gore 517 u.s. 559 (1996)"	Damages	
Plessy v. Ferguson 163 u.s. 537 (1896)	Discrimination	
Muller v. Oregon 208 u.s. 412 (1908)	Discrimination	
Buck v. Bell 274 u.s. 200 (1927)	Discrimination	
Norris v. Alabama 294 u.s. 587 (1935)	Discrimination	
Missouri ex rel. Gaines v. Canada 305 u.s. 337 (1938)	Discrimination	
Smith v. Allwright 321 u.s. 649 (1944)	Discrimination	
Korematsu v. United States 323 u.s. 214 (1944)	Discrimination	
Morgan v. Virginia 328 u.s. 373 (1946)	Discrimination	
Shelley v. Kraemer 334 u.s. 1 (1948)	Discrimination	
Terry v. Adams 345 u.s. 461 (1953)	Discrimination	
Brown v. Board of Education 347 u.s. 483 (1954)	Discrimination	
Brown v. Board of Education 349 u.s. 294 (1955)	Discrimination	
Hoyt v. Florida 368 u.s. 57 (1961)	Discrimination	
"Heart of Atlanta Motel, Inc. v. United States 379 u.s. 241 (1964)"	Discrimination	
Katzenbach v. McClung 379 u.s. 294 (1964)	Discrimination	
Evans v. Newton 382 u.s. 296 (1966)	Discrimination	
South Carolina v. Katzenbach 383 u.s. 301 (1966)	Discrimination	
United States v. Guest 383 u.s. 745 (1966)	Discrimination	
Loving v. Virginia 388 u.s. 1 (1967)	Discrimination	
Green v. County School Board of New Kent County 391 u.s. 430 (1968)	Discrimination	
Jones v. Alfred H. Mayer Co. 392 u.s. 409 (1968)	Discrimination	
Dandridge v. Williams 397 u.s. 471 (1970)	Discrimination	
Griggs v. Duke Power Co. 401 u.s. 424 (1971)	Discrimination	
Swann v. Charlotte-Mecklenburg Board of Education 402 u.s. 1 (1971)	Discrimination	
Reed v. Reed 404 u.s. 71 (1971)	Discrimination	
Apodaca v. Oregon 406 u.s. 404 (1972)	Discrimination	
Frontiero v. Richardson 411 u.s. 677 (1973)	Discrimination	
Greer v. Spock 424 u.s. 828 (1976)	Discrimination	
Washington v. Davis 426 u.s. 229 (1976)	Discrimination	
Hicklin v. Orbeck 437 u.s. 518 (1978)	Discrimination	
Regents of the Univ. of Cal. v. Bakke 438 u.s. 265 (1978)	Discrimination	
Michael M. v. Superior Court 450 u.s. 464 (1981)	Discrimination	
Bob Jones Univ. v. United States 461 u.s. 574 (1983)	Discrimination	
Building Trades & Construction Trades Council of Camden County and Vicinity v. Mayor and Council of the City of Camden 465 u.s. 208 (1984)	Discrimination	
Missouri v. Jenkins 495 u.s. 33 (1990)	Discrimination	
"Metro Broadcasting, Inc. v. Federal Communications Commission 497 u.s. 547 (1990)"	Discrimination	
"Adarand Constructors, Inc. v. Pena 515 u.s. 200 (1995)"	Discrimination	
Romer v. Evans 517 u.s. 620 (1996)	Discrimination	
Bragdon v. Abbott 524 u.s. 624 (1998)	Discrimination	
Boy Scouts of America v. Dale 530 u.s. 640 (2000)	Discrimination	
Korematsu v. United States 323 u.s. 214 (1944)	Discrimination Based on National Origin	
Palko v. Connecticut 302 u.s. 319 (1937)	Double Jeopardy	
Louisiana ex rel. Francis v. Resweber 329 u.s. 459 (1947)	Double Jeopardy	
Bartkus v. Illinois 359 u.s. 121 (1959)	Double Jeopardy	
Benton v. Maryland 395 u.s. 784 (1969)	Double Jeopardy	
Waller v. Florida 397 u.s. 387 (1970)	Double Jeopardy	
Ashe v. Swenson 397 u.s. 436 (1970)	Double Jeopardy	
Crist v. Bretz 437 u.s. 28 (1978)	Double Jeopardy	
Munn v. Illinois 94 u.s. 113 (1876)	Due Process	
Pennoyer v. Neff 95 u.s. 714 (1878)	Due Process	
Lochner v. New York 198 u.s. 45 (1905)	Due Process	
Muller v. Oregon 208 u.s. 412 (1908)	Due Process	
Village of Euclid v. Ambler Realty Co. 272 u.s. 365 (1926)	Due Process	
Tyson & Brother v. Banton 273 u.s. 418 (1927)	Due Process	
Nebbia v. New York 291 u.s. 502 (1934)	Due Process	
Norris v. Alabama 294 u.s. 587 (1935)	Due Process	
West Coast Hotel Co. v. Parrish 300 u.s. 379 (1937)	Due Process	
Chambers v. Florida 309 u.s. 227 (1940)	Due Process	
Betts v. Brady 316 u.s. 455 (1942)	Due Process	
Kent v. Dulles 357 u.s. 116 (1958)	Due Process	
Bartkus v. Illinois 359 u.s. 121 (1959)	Due Process	
In re Gault 387 u.s. 1 (1967)	Due Process	
Loving v. Virginia 388 u.s. 1 (1967)	Due Process	
Rowan v. United States Post Office Department 397 u.s. 728 (1970)	Due Process	
Johnson v. Louisiana 406 u.s. 356 (1972)	Due Process	
Fuentes v. Shevin 407 u.s. 67 (1972)	Due Process	
Board of Regents of State Colleges v. Roth 408 u.s. 564 (1972)	Due Process	
Perry v. Sindermann 408 u.s. 593 (1972)	Due Process	
Goss v. Lopez 419 u.s. 565 (1975)	Due Process	
Paul v. Davis 424 u.s. 693 (1976)	Due Process	
Hampton v. Mow Sun Wong 426 u.s. 88 (1976)	Due Process	
"Young v. American Mini Theatres, Inc. 427 u.s. 50 (1976)"	Due Process	
Castaneda v. Partida 430 u.s. 482 (1977)	Due Process	
Harris v. McRae 448 u.s. 297 (1980)	Due Process	
Youngberg v. Romeo 457 u.s. 307 (1982)	Due Process	
"Akron v. Akron Center for Reproductive Health, Inc. 462 u.s. 416 (1983)"	Due Process	
Hudson v. Palmer 468 u.s. 517 (1984)	Due Process	
Bowers v. Hardwick 478 u.s. 186 (1986)	Due Process	
"BMW of North America, Inc. v. Gore 517 u.s. 559 (1996)"	Due Process	
Washington v. Glucksberg 521 u.s. 702 (1997)	Due Process	
Chicago v. Morales 527 u.s. 41 (1999)	Due Process	
Troxel v. Granville 530 u.s. 57 (2000)	Due Process	
Meyer v. State of Nebraska 262 u.s. 390 (1923)	Education	
Pierce v. Society of Sisters 268 u.s. 510 (1925)	Education	
Missouri ex rel. Gaines v. Canada 305 u.s. 337 (1938)	Education	
Minersville School District v. Board of Education 310 u.s. 586 (1940)	Education	
West Virginia State Board of Education v. Barnette 319 u.s. 624 (1943)	Education	
Everson v. Board of Education of the Township of Ewing 330 u.s. 1 (1947)	Education	
Illinois ex rel. McCollum v. Board of Education of School District 333 u.s. 203 (1948)	Education	
Sweatt v. Painter 339 u.s. 629 (1950)	Education	
McLaurin v. Oklahoma State Regents 339 u.s. 637 (1950)	Education	
Adler v. Board of Education of City of New York 342 u.s. 485 (1952)	Education	
Zorach v. Clauson 343 u.s. 306 (1952)	Education	
Brown v. Board of Education 347 u.s. 483 (1954)	Education	
Bolling v. Sharpe 347 u.s. 497 (1954)	Education	
Brown v. Board of Education 349 u.s. 294 (1955)	Education	
Slochower v. Board of Higher Education of New York City 350 u.s. 551 (1956)	Education	
Barenblatt v. United States 360 u.s. 109 (1959)	Education	
Shelton v. Tucker 364 u.s. 479 (1960)	Education	
Engel v. Vitale 370 u.s. 421 (1962)	Education	
"School District of Abington Township, Pennsylvania v. Schempp 374 u.s. 203 (1963)"	Education	
Keyishian v. Board of Regents 385 u.s. 589 (1967)	Education	
Green v. County School Board of New Kent County 391 u.s. 430 (1968)	Education	
Maryland v. Wirtz 392 u.s. 183 (1968)	Education	
Board of Education v. Allen 392 u.s. 236 (1968)	Education	
Epperson v. Arkansas 393 u.s. 97 (1968)	Education	
Tinker v. Des Moines Independent Community School Dist. 393 u.s. 503 (1969)	Education	
Hadley v. Junior College District of Metropolitan Kansas City 397 u.s. 50 (1970)	Education	
Swann v. Charlotte-Mecklenburg Board of Education 402 u.s. 1 (1971)	Education	
North Carolina State Board of Education v. Swann 402 u.s. 43 (1971)	Education	
Lemon v. Kurtzman 403 u.s. 602 (1971)	Education	
Wisconsin v. Yoder 406 u.s. 205 (1972)	Education	
Grayned v. City of Rockford 408 u.s. 104 (1972)	Education	
Board of Regents of State Colleges v. Roth 408 u.s. 564 (1972)	Education	
Perry v. Sindermann 408 u.s. 593 (1972)	Education	
San Antonio Independent School District v. Rodriguez 411 u.s. 1 (1973)	Education	
"Keyes v. School District No. 1, Denver, Colorado 413 u.s. 189 (1973)"	Education	
Lau v. Nichols 414 u.s. 563 (1974)	Education	
Cleveland Board of Education v. LaFleur 414 u.s. 632 (1974)	Education	
Milliken v. Bradley 418 u.s. 717 (1974)	Education	
Goss v. Lopez 419 u.s. 565 (1975)	Education	
Ingraham v. Wright 430 u.s. 651 (1977)	Education	
Milliken v. Bradley 433 u.s. 267 (1977)	Education	
Regents of the Univ. of Cal. v. Bakke 438 u.s. 265 (1978)	Education	
Ambach v. Norwick 441 u.s. 68 (1979)	Education	
Stone v. Graham 449 u.s. 39 (1980)	Education	
Widmar v. Vincent 454 u.s. 263 (1981)	Education	
Plyler v. Doe 457 u.s. 202 (1982)	Education	
Board of Educ. v. Pico 457 u.s. 853 (1982)	Education	
Mississippi University for Women v. Hogan 458 u.s. 718 (1982)	Education	
Bob Jones Univ. v. United States 461 u.s. 574 (1983)	Education	
Mueller v. Allen 463 u.s. 388 (1983)	Education	
Allen v. Wright 468 u.s. 737 (1984)	Education	
New Jersey v. T.L.O. 469 u.s. 325 (1985)	Education	
Wallace v. Jaffree 472 u.s. 38 (1985)	Education	
School District v. Ball 473 u.s. 373 (1985)	Education	
Aguilar v. Felton 473 u.s. 402 (1985)	Education	
Wygant v. Jackson Board of Education 476 u.s. 267 (1986)	Education	
Bethel School Dist. No. 403 v. Fraser 478 u.s. 675 (1986)	Education	
Edwards v. Aguillard 482 u.s. 578 (1987)	Education	
Hazelwood School Dist. v. Kuhlmeier 484 u.s. 260 (1988)	Education	
Missouri v. Jenkins 495 u.s. 33 (1990)	Education	
Franklin v. Gwinnett County Public Schools 503 u.s. 60 (1992)	Education	
Freeman v. Pitts 503 u.s. 467 (1992)	Education	
Lee v. Weisman 505 u.s. 577 (1992)	Education	
United States v. Fordice 505 u.s. 717 (1992)	Education	
Lamb's Chapel v. Center Moriches Union Free School District 508 u.s. 384 (1993)	Education	
United States v. Lopez 514 u.s. 549 (1995)	Education	
Rosenberger v. Rector & Visitors of the University of Virginia 515 u.s. 819 (1995)	Education	
Santa Fe Independent School Dist. v. Doe 530 u.s. 290 (2000)	Education	
Mitchell v. Helms 530 u.s. 793 (2000)	Education	
Zelman v. Simmons-Harris 00-1751 (2002)	Education	
Board of Ed. of Independent School Dist. No. 92 v. Earls 01-332 (2002)	Education	
Louisiana ex rel. Francis v. Resweber 329 u.s. 459 (1947)	Eighth Amendment	
Trop v. Dulles 356 u.s. 86 (1958)	Eighth Amendment	
Powell v. Texas 392 u.s. 514 (1968)	Eighth Amendment	
Furman v. Georgia 408 u.s. 238 (1972)	Eighth Amendment	
Gregg v. Georgia 428 u.s. 153 (1976)	Eighth Amendment	
Proffitt v. Florida 428 u.s. 242 (1976)	Eighth Amendment	
Jurek v. Texas 428 u.s. 262 (1976)	Eighth Amendment	
Woodson v. North Carolina 428 u.s. 280 (1976)	Eighth Amendment	
Estelle v. Gamble 429 u.s. 97 (1976)	Eighth Amendment	
Ingraham v. Wright 430 u.s. 651 (1977)	Eighth Amendment	
Coker v. Georgia 433 u.s. 584 (1977)	Eighth Amendment	
Lockett v. Ohio 438 u.s. 586 (1978)	Eighth Amendment	
Bell v. Ohio 438 u.s. 637 (1978)	Eighth Amendment	
Eddings v. Oklahoma 455 u.s. 104 (1982)	Eighth Amendment	
Enmund v. Florida 458 u.s. 782 (1982)	Eighth Amendment	
Whitley v. Albers 475 u.s. 312 (1986)	Eighth Amendment	
Ford v. Wainwright 477 u.s. 399 (1986)	Eighth Amendment	
McCleskey v. Kemp 481 u.s. 279 (1987)	Eighth Amendment	
Thompson v. Oklahoma 487 u.s. 815 (1988)	Eighth Amendment	
Penry v. Lynaugh 492 u.s. 302 (1989)	Eighth Amendment	
Stanford v. Kentucky 492 u.s. 361 (1989)	Eighth Amendment	
Wilson v. Seiter 501 u.s. 294 (1991)	Eighth Amendment	
Harmelin v. Michigan 501 u.s. 957 (1991)	Eighth Amendment	
Hudson v. McMillian 503 u.s. 1 (1992)	Eighth Amendment	
Dawson v. Delaware 503 u.s. 159 (1992)	Eighth Amendment	
Gomez v. United States District Court for the Northern District of California 503 u.s. 653 (1992)	Eighth Amendment	
Helling v. McKinney 509 u.s. 25 (1993)	Eighth Amendment	
Atkins v. Virginia 00-8452 (2002)	Eighth Amendment	
Smith v. Allwright 321 u.s. 649 (1944)	Elections	
Colegrove v. Green 328 u.s. 549 (1946)	Elections	
Terry v. Adams 345 u.s. 461 (1953)	Elections	
Baker v. Carr 369 u.s. 186 (1962)	Elections	
Wesberry v. Sanders 376 u.s. 1 (1964)	Elections	
Reynolds v. Sims 377 u.s. 533 (1964)	Elections	
Harper v. Virginia Board of Elections 383 u.s. 663 (1966)	Elections	
Katzenbach v. Morgan 384 u.s. 641 (1966)	Elections	
Oregon v. Mitchell 400 u.s. 112 (1970)	Elections	
Mahan v. Howell 410 u.s. 315 (1973)	Elections	
******** 410 u.s. 752 (1973)	Elections	Note
Broadrick v. Oklahoma 413 u.s. 601 (1973)	Elections	
Communist Party of Indiana v. Whitcomb 414 u.s. 441 (1974)	Elections	
Miami Herald Publishing Co. v. Tornillo 418 u.s. 241 (1974)	Elections	
Lehman v. City of Shaker Heights 418 u.s. 298 (1974)	Elections	
Buckley v. Valeo 424 u.s. 1 (1976)	Elections	
Greer v. Spock 424 u.s. 828 (1976)	Elections	
City of Mobile v. Bolden 446 u.s. 55 (1980)	Elections	
Brown v. Hartlage 456 u.s. 45 (1982)	Elections	
Board of Estimate of City of New York v. Morris 489 u.s. 688 (1989)	Elections	
Department of Commerce v. United States House 525 u.s. 326 (1999)	Elections	
California Democratic Party v. Jones 530 u.s. 567 (2000)	Elections	
******** 00-949 (2000)	Elections	Note
Republican Party of Minnesota v. White 01-521 (2002)	Elections	
United States v. Peters 9 u.s. 115 (1809)	Eleventh Amendment	
Cohens v. Virginia 19 u.s. 264 (1821)	Eleventh Amendment	
Youngberg v. Romeo 457 u.s. 307 (1982)	Eleventh Amendment	
Alden v. Maine 527 u.s. 706 (1999)	Eleventh Amendment	
Reno v. Condon 528 u.s. 141 (2000)	Eleventh Amendment	
******** 99-1240 (2001)	Eleventh Amendment	Note
Hawaii Housing Authority v. Midkiff 467 u.s. 229 (1984)	Eminent Domain	
"First English Evangelical Lutheran Church of Glendale v. County of Los Angeles, California 482 u.s. 304 (1987)"	Eminent Domain	
Nollan v. California Coastal Commission 483 u.s. 825 (1987)	Eminent Domain	
Holden v. Hardy 169 u.s. 366 (1898)	Employment	
Lochner v. New York 198 u.s. 45 (1905)	Employment	
Myers v. United States 272 u.s. 52 (1926)	Employment	
Humphrey's Executor v. United States 295 u.s. 602 (1935)	Employment	
United States v. Lovett 328 u.s. 303 (1946)	Employment	
Adler v. Board of Education of City of New York 342 u.s. 485 (1952)	Employment	
Slochower v. Board of Higher Education of New York City 350 u.s. 551 (1956)	Employment	
Wiener v. United States 357 u.s. 349 (1958)	Employment	
Shelton v. Tucker 364 u.s. 479 (1960)	Employment	
Keyishian v. Board of Regents 385 u.s. 589 (1967)	Employment	
Maryland v. Wirtz 392 u.s. 183 (1968)	Employment	
Griggs v. Duke Power Co. 401 u.s. 424 (1971)	Employment	
Board of Regents of State Colleges v. Roth 408 u.s. 564 (1972)	Employment	
Perry v. Sindermann 408 u.s. 593 (1972)	Employment	
Pittsburgh Press Co. v. Pittsburgh Commission on Human Relations 413 u.s. 376 (1973)	Employment	
Broadrick v. Oklahoma 413 u.s. 601 (1973)	Employment	
Cleveland Board of Education v. LaFleur 414 u.s. 632 (1974)	Employment	
Hudgens v. National Labor Relations Board 424 u.s. 507 (1976)	Employment	
Washington v. Davis 426 u.s. 229 (1976)	Employment	
City of Los Angeles Department of Water and Power v. Manhart 435 u.s. 702 (1978)	Employment	
"United Steelworkers of America, AFL-CIO-CLC v. Weber 443 u.s. 193 (1979)"	Employment	
Wengler v. Druggists Mutual Insurance Co. 446 u.s. 142 (1980)	Employment	
Thomas v. Review Board of the Indiana Employment Security Division 450 u.s. 707 (1981)	Employment	
United Transportation Union v. Long Island Rail Road Co. 455 u.s. 678 (1982)	Employment	
Connick v. Myers 461 u.s. 138 (1983)	Employment	
Arizona Governing Committee for Tax Deferred Annuity and Deferred Compensation Plans v. Norris 463 u.s. 1073 (1983)	Employment	
Hishon v. King & Spalding 467 u.s. 69 (1984)	Employment	
Firefighters Local Union No. 1784 v. Stotts 467 u.s. 561 (1984)	Employment	
Meritor Savings Bank v. Vinson 477 u.s. 57 (1986)	Employment	
Johnson v. Transportation Agency 480 u.s. 616 (1987)	Employment	
Saint Francis College v. Al-Khazraji 481 u.s. 604 (1987)	Employment	
Frazee v. Illinois Department of Employment Security 489 u.s. 829 (1989)	Employment	
Price Waterhouse v. Hopkins 490 u.s. 228 (1989)	Employment	
"Ward's Cove Packing Co., Inc. v. Antonio 490 u.s. 642 (1989)"	Employment	
Patterson v. McLean Credit Union 491 u.s. 164 (1989)	Employment	
"International Union, United Automobile, Aerospace & Agricultural Implement Workers of America, UAW v. Johnson Controls, Inc. 499 u.s. 187 (1991)"	Employment	
"Oncale v. Sundowner Offshore Services, Inc. 523 u.s. 75 (1998)"	Employment	
"Burlington Industries, Inc. v. Ellerth 524 u.s. 742 (1998)"	Employment	
Faragher v. City of Boca Raton 524 u.s. 775 (1998)	Employment	
Sutton v. United Air Lines 527 u.s. 471 (1999)	Employment	
Huron Portland Cement Co. v. City of Detroit 362 u.s. 440 (1960)	Environment	
Train v. City of New York 420 u.s. 35 (1975)	Environment	
City of Philadelphia v. New Jersey 437 u.s. 617 (1978)	Environment	
Minnesota v. Clover Leaf Creamery Co. 449 u.s. 456 (1981)	Environment	
"Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc. 467 u.s. 837 (1984)"	Environment	
Lujan v. Defenders of Wildlife 504 u.s. 555 (1992)	Environment	
Lucas v. South Carolina Coastal Council 505 u.s. 1003 (1992)	Environment	
"C & A Carbone, Inc. v. Town of Clarkstown 511 u.s. 383 (1994)"	Environment	
******** 99-2047 (2001)	Environment	Note
Minor v. Happersett 88 u.s. 162 (1875)	Equal Protection	
Strauder v. West Virginia 100 u.s. 303 (1879)	Equal Protection	
Yick Wo v. Hopkins 118 u.s. 356 (1886)	Equal Protection	
Plessy v. Ferguson 163 u.s. 537 (1896)	Equal Protection	
Truax v. Raich 239 u.s. 33 (1915)	Equal Protection	
Buchanan v. Warley 245 u.s. 60 (1917)	Equal Protection	
Missouri ex rel. Gaines v. Canada 305 u.s. 337 (1938)	Equal Protection	
Prince v. Massachusetts 321 u.s. 158 (1944)	Equal Protection	
Morgan v. Virginia 328 u.s. 373 (1946)	Equal Protection	
Shelley v. Kraemer 334 u.s. 1 (1948)	Equal Protection	
Sweatt v. Painter 339 u.s. 629 (1950)	Equal Protection	
