topic	case	argued	decided	opinion
eleventh_amendment	527 U.S. 706	NA	NA	NA
eleventh_amendment	528 U.S. 141	NA	NA	NA
eleventh_amendment	NA	NA	NA	NA
eminent_domain	Hawaii Housing Authority v. Midkiff	Argued: March 26, 1984	Decided: May 30, 1984  [*]	Opinion, O'Connor
eminent_domain	First English Evangelical Lutheran Church of Glendale v. County of Los Angeles, California	Argued: January 14, 1987	Decided: June 9, 1987	Opinion, Rehnquist
eminent_domain	483 U.S. 825	Argued: March 30, 1987	Decided: June 26, 1987	Opinion, Scalia
employment	169 U.S. 366	NA	NA	NA
employment	Lochner v. New York	Argued: February 23, 24, 1905	Decided: April 17, 1905	Opinion, Peckham
employment	Myers v. United States	Argued: December 5, 1923Reargued April 13, 14, 1925	Decided: October 25, 1926	Opinion, Taft
employment	Humphrey's Executor v. United States	Argued: 1, 1935	Decided: May 27, 1935	Opinion, Sutherland
employment	328 U.S. 303	NA	NA	NA
employment	Adler v. Board of Education of City of New York	Argued: January 3, 1952	Decided: March 3, 1952	Opinion, Minton
employment	Slochower v. Board of Higher Education of New York City	Argued: October 18-19, 1955	Decided: April 9, 1956	Opinion, Clark
employment	Wiener v. United States	Argued: November 18, 1957	Decided: June 30, 1958	Opinion, Frankfurter
employment	Shelton v. Tucker	Argued: November 7, 1960	Decided: December 12, 1960  [*]	Opinion, Stewart
employment	Keyishian v. Board of Regents	Argued: November 17, 1966	Decided: January 23, 1967	Opinion, Brennan
employment	Maryland v. Wirtz	Argued: April 23, 1968	Decided: June 10, 1968	Opinion, Harlan
employment	Griggs v. Duke Power Co.	Argued: December 14, 1970	Decided: March 8, 1971	Opinion, Burger
employment	408 U.S. 564	NA	NA	NA
employment	Perry v. Sindermann	Argued: January 18, 1972	Decided: June 29, 1972	Opinion, Stewart
employment	Pittsburgh Press Co. v. Pittsburgh Commission on Human Relations	Argued: March 20, 1973	Decided: June 21, 1973	Opinion, Powell
employment	413 U.S. 601	NA	NA	NA
employment	Cleveland Board of Education v. LaFleur	Argued: October 15, 1973	Decided: January 21, 1974  [*]	Opinion, Stewart
employment	Hudgens v. National Labor Relations Board	Argued: October 14, 1975	Decided: March 3, 1976	Opinion, Stewart
employment	426 U.S. 229	NA	NA	NA
employment	City of Los Angeles Department of Water and Power v. Manhart	Argued: January 18, 1978	Decided: April 25, 1978	Opinion, Stevens
employment	United Steelworkers of America, AFL-CIO-CLC v. Weber	Argued: March 28, 1979	Decided: June 27, 1979  [*]	Opinion, Brennan
employment	Wengler v. Druggists Mutual Insurance Co.	Argued: February 25, 1980	Decided: April 22, 1980	Opinion, White
employment	Thomas v. Review Board of the Indiana Employment Security Division	Argued: October 7, 1980	Decided: April 6, 1981	Opinion, Burger
employment	United Transportation Union v. Long Island Rail Road Co.	Argued: January 20, 1982	Decided: March 24, 1982	Opinion, Burger
employment	Connick v. Myers	Argued: November 8, 1982	Decided: April 20, 1983	Opinion, White
employment	Arizona Governing Committee for Tax Deferred Annuity and Deferred Compensation Plans v. Norris	Argued: March 28, 1983	Decided: July 6, 1983	NA
employment	Hishon v. King & Spalding	Argued: October 31, 1983	Decided: May 22, 1984	Opinion, Burger
employment	Firefighters Local Union No. 1784 v. Stotts	Argued: December 6, 1984	Decided: June 12, 1984  [*]	Opinion, White
employment	477 U.S. 57	NA	NA	NA
employment	Johnson v. Transportation Agency	Argued: November 12, 1986	Decided: March 25, 1987	Opinion, Brennan
employment	Saint Francis College v. Al-Khazraji	Argued: February 25, 1987	Decided: May 18, 1987	Opinion, White
employment	Frazee v. Illinois Department of Employment Security	Argued: March 1, 1989	Decided: March 29, 1989	Opinion, White
employment	Price Waterhouse v. Hopkins	Argued: October 31, 1988	Decided: May 1, 1989	Opinion, Brennan
employment	Ward's Cove Packing Co., Inc. v. Antonio	Argued: January 18, 1989	Decided: June 5, 1989	Opinion, White
employment	Patterson v. McLean Credit Union	Argued: February 29, 1988	Decided: June 15, 1989	Opinion, Kennedy
employment	499 U.S. 187	NA	NA	NA
employment	ONCALE v. SUNDOWNER OFFSHORE SERVICES, INC.	NA	NA	NA
employment	BURLINGTON INDUSTRIES, INC. v. ELLERTH	NA	NA	Opinion, Kennedy
employment	FARAGHER v. BOCA RATON	NA	NA	NA
employment	SUTTON v. UNITED AIR LINES, INC.	NA	NA	NA
environment	Huron Portland Cement Co. v. City of Detroit	Argued: February 29, 1960	Decided: April 25, 1960	Opinion, Stewart
environment	Train v. City of New York	Argued: November 12, 1974	Decided: February 18, 1975	Opinion, White
environment	City of Philadelphia v. New Jersey	Argued: March 27, 1978	Decided: June 23, 1978	Opinion, Stewart
environment	Minnesota v. Clover Leaf Creamery Co.	Argued: November 3, 1980	Decided: January 21, 1981	Opinion, Brennan
environment	Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc.	Argued: February 29, 1984	Decided: June 25, 1984  [*]	Opinion, Stevens
environment	Lujan v. Defenders of Wildlife	Argued: Dec. 3, 1992	Decided: June 12, 1992	Opinion, Scalia
environment	Lucas v. South Carolina Coastal Council	Argued: March 2, 1992	Decided: June 29, 1992	Opinion, Scalia
environment	C & A Carbone, Inc. v. Town of Clarkstown	Argued: December 7, 1993	Decided: 	Opinion, Kennedy
environment	NA	NA	NA	NA
equal_protection	Minor v. Happersett	Argued: February 9, 1875	Decided: March 29, 1875	Opinion, Waite
equal_protection	Strauder v. West Virginia	Argued: 	Decided: 	Opinion, Strong
equal_protection	Yick Wo v. Hopkins	Argued: 	Decided: May 10, 1886	Opinion, Matthews
equal_protection	Plessy v. Ferguson	Argued: April 18, 1896	Decided: May 18, 1896	Opinion, Brown
equal_protection	Truax v. Raich	Argued: October 15, 1915	Decided: November 1, 1915	Opinion, Hughes
equal_protection	Buchanan v. Warley	Argued: April 10, 11, 1916	Decided: November 5, 1917	Opinion, Day
equal_protection	Missouri ex rel. Gaines v. Canada	Argued: November 9, 1938	Decided: December 12, 1938	Opinion, Hughes
equal_protection	Prince v. Massachusetts	Argued: December 14, 1943	Decided: January 31, 1944	Opinion, Rutledge
equal_protection	Morgan v. Virginia	Argued: March 27, 1946	Decided: June 3, 1946	Opinion, Reed
equal_protection	334 U.S. 1	NA	NA	NA
equal_protection	Sweatt v. Painter	Argued: April 4, 1950	Decided: June 5, 1950	Opinion, Vinson
equal_protection	McLaurin v. Oklahoma State Regents	Argued: April 3-4, 1950	Decided: June 5, 1950	Opinion, Vinson
equal_protection	Bolling v. Sharpe	Argued: December 10-11, 1952	Decided: May 17, 1954	Opinion, Warren
equal_protection	Hoyt v. Florida	Argued: October 19, 1961	Decided: November 20, 1961	Opinion, Harlan
equal_protection	Evans v. Newton	Argued: November 9-10, 1965	Decided: January 17, 1966	Opinion, Douglas
equal_protection	383 U.S. 663	NA	NA	NA
equal_protection	384 U.S. 641	NA	NA	NA
equal_protection	Loving v. Virginia	Argued: April 10, 1967	Decided: June 12, 1967	Opinion, Warren
equal_protection	Dandridge v. Williams	Argued: December 9, 1969	Decided: April 6, 1970	Opinion, Stewart
equal_protection	Swann v. Charlotte-Mecklenburg Board of Education	Argued: October 12, 1970	Decided: April 20, 1971  [*]	Opinion, Burger
equal_protection	Reed v. Reed	Argued: October 19, 1971	Decided: November 22, 1971	Opinion, Burger
equal_protection	Johnson v. Louisiana	Argued: March 1, 1971	Decided: May 22, 1972	Opinion, White
equal_protection	408 U.S. 92	NA	NA	NA
equal_protection	Grayned v. City of Rockford	Argued: January 19, 1972	Decided: June 26, 1972	Opinion, Marshall
equal_protection	Mahan v. Howell	Argued: December 12, 1972	Decided: February 21, 1973  [*]	Opinion, Rehnquist
equal_protection	426 U.S. 229	NA	NA	NA
equal_protection	Craig v. Boren	Argued: October 5, 1976	Decided: December 20, 1976	Opinion, Brennan
equal_protection	Village of Arlington Heights v. Metropolitan	Argued: October 13, 1976	Decided: January 11, 1977	Opinion, Powell
equal_protection	Califano v. Goldfarb	Argued: October 5, 1976	Decided: March 2, 1977	Opinion, Brennan
equal_protection	430 U.S. 482	NA	NA	NA
equal_protection	Trimble v. Gordon	Argued: December 7, 1976	Decided: April 26, 1977	Opinion, Powell
equal_protection	Dothard v. Rawlinson	Argued: April 19, 1977	Decided: June 27, 1977	Opinion, Stewart
equal_protection	Orr v. Orr	Argued: November 27, 1978	Decided: March 5, 1979	Opinion, Brennan
equal_protection	Ambach v. Norwick	Argued: January 10, 1979	Decided: April 17, 1979	Opinion, Powell
equal_protection	United States. Railroad Retirement Board v. Fritz	Argued: October 6, 1980	Decided: December 9, 1980	Opinion, Rehnquist
equal_protection	450 U.S. 464	NA	NA	NA
equal_protection	Cabell v. Chavez-Salido	Argued: November 3, 1981	Decided: January 12, 1982	Opinion, White
equal_protection	470 U.S. 869	NA	NA	NA
equal_protection	Saint Francis College v. Al-Khazraji	Argued: February 25, 1987	Decided: May 18, 1987	Opinion, White
equal_protection	Board of Estimate of City of New York v. Morris	Argued: December 7, 1988	Decided: March 22, 1989  [*]	Opinion, White
equal_protection	Missouri v. Jenkins	Argued: Oct. 30, 1989	Decided: April 18, 1990	Opinion, White
equal_protection	Metro Broadcasting, Inc. v. Federal Communications Commission	Argued: March 28, 1990	Decided: June 27, 1990	Opinion, Brennan
equal_protection	517 U.S. 456	NA	NA	NA
equal_protection	Romer v. Evans	Argued: October 10, 1995	Decided: May 20, 1996	Opinion, Kennedy
equal_protection	526 U.S. 489	NA	NA	NA
equal_protection	NA	NA	NA	NA
equal_protection	NA	NA	NA	NA
establishment_of_religion	Illinois ex rel. McCollum v. Board of Education of School District	Argued: December 8, 1947	Decided: March 8, 1948	Opinion, Black
establishment_of_religion	Zorach v. Clauson	Argued: January 31	Decided: April 28, 1952	Opinion, Douglas
establishment_of_religion	School District of Abington Township, Pennsylvania v. Schempp	Argued: February 27-28, 1963	Decided: June 17, 1963 >GO>*	Opinion, Clark
establishment_of_religion	Walz v. Tax Comm'n of the City of New York	Argued: November 19, 1969	Decided: May 4, 1970	Opinion, Burger
establishment_of_religion	Lemon v. Kurtzman	Argued: March 3, 1971	Decided: June 28, 1971  [*]	Opinion, Burger
establishment_of_religion	Mueller v. Allen	Argued: April 18, 1983	Decided: June 29, 1983	Opinion, Rehnquist
establishment_of_religion	Marsh v. Chambers	Argued: April 20, 1983	Decided: July 5, 1983	Opinion, Burger
establishment_of_religion	472 U.S. 38	NA	NA	NA
establishment_of_religion	473 U.S. 373	NA	NA	NA
establishment_of_religion	SANTA FE INDEPENDENT SCHOOL DIST. v. DOE	NA	NA	NA
establishment_of_religion	530 U.S. 793	NA	NA	NA
establishment_of_religion	NA	NA	NA	NA
evidence	Brinegar v. United States	Argued: October 18-19, 1948	Decided: June 27, 1949	Opinion, Rutledge
evidence	Massiah v. United States	Argued: March 3, 1964	Decided: May 18, 1964	Opinion, Stewart
evidence	Chambers v. Maroney	Argued: April 27, 1970	Decided: June 22, 1970	Opinion, White
evidence	Harris v. New York	Argued: December 17, 1970	Decided: February 24, 1971	Opinion, Burger
evidence	United States v. Calandra	Argued: October 11, 1973	Decided: January 8, 1974	Opinion, Powell
evidence	415 U.S. 164	NA	NA	NA
evidence	Ohio v. Roberts	Argued: November 26, 1979	Decided: June 25, 1980	Opinion, Blackmun
evidence	482 U.S. 496	NA	NA	NA
executive_power	([level Case Citation:]|[group citemenu:])",RH"]In re Neagle	Argued: March 4, 5, 1890	Decided: April 14, 1890	Opinion, Miller
executive_priviledge	Marbury v. Madison	Argued: 	Decided: 	Opinion, Marshall
executive_priviledge	Mississippi v. Johnson	Argued: 	Decided: 	Opinion, Chase
extradition	Kentucky v. Dennison	Argued: 	Decided: 	Opinion, Taney
extradition	Puerto Rico v. Branstad	Argued: March 30, 1987	Decided: June 23, 1987	Opinion, Marshall
federal_courts	Martin v. Hunter's Lessee	Argued: 	Decided: 	Opinion, Story
federal_courts	Cohens v. Virginia	Argued: 	Decided: 	Opinion, Marshall
federal_courts	Willson v. Black Bird Creek Marsh Company	Argued: 	Decided: 	Opinion, Marshall
federal_courts	Worcester v. Georgia	Argued: 	Decided: 	Opinion, Marshall
federal_courts	Swift v. Tyson	Argued: 	Decided: 	Opinion, Story
federal_courts	Scott v. Sandford	Argued: 	Decided: 	Opinion, Taney
federal_courts	Ex parte McCardle	Argued: 	Decided: 	Opinion, Chase
federal_courts	Texas v. White	Argued: 	Decided: 	Opinion, Chase
federal_courts	Ex parte Siebold	Argued: 	Decided: 	Opinion, Bradley
federal_courts	([level Case Citation:]|[group citemenu:])",RH"]Ex Parte Grossman	Argued: December 1, 1924	Decided: March 2, 1925	Opinion, Taft
federal_courts	Olmstead v. United States	Argued: February 20, 21, 1928	Decided: June 4, 1928	Opinion, Taft
federal_courts	([level Case Citation:]|[group citemenu:])",RH"]Ex parte Bakelite Corporation	Argued: January 2, 3, 1929	Decided: May 20, 1929	Opinion, Van Devanter
federal_courts	Nashville, Chattanooga & St. Louis Railway Co. v. Wallace	Argued: December 12, 1932	Decided: February 6, 1933	Opinion, Stone
federal_courts	Erie Railroad Co. v. Tompkins	Argued: January 31, 1938	Decided: April 25, 1938	Opinion, Brandeis
federal_courts	Railroad Commission of Texas v. Pullman Company	Argued: February 4, 1941	Decided: March 3, 1941	Opinion, Frankfurter
federal_courts	([level Case Citation:]|[group citemenu:])",RH"]Ex Parte Quirin	Argued: July 29-30, 1942	Decided: July 31, 1942	Opinion, Stone
federal_courts	Illinois ex rel. McCollum v. Board of Education of School District	Argued: December 8, 1947	Decided: March 8, 1948	Opinion, Black
federal_courts	Monroe v. Pape	Argued: November 8, 1960	Decided: February 20, 1961	Opinion, Douglas
federal_courts	Glidden Co. v. Zdanok	Argued: February 21, 26, 1962	Decided: June 25, 1962  [*]	Opinion, Harlan
federal_courts	National Association for the Advancement of Colored People v. Button	Argued: November 8,1961	Decided: January 14, 1963	Opinion, Brennan
federal_courts	Katzenbach v. McClung	Argued: October 5, 1964	Decided: December 14, 1964	Opinion, Clark
federal_courts	Zemel v. Rusk	Argued: March 1, 1965	Decided: May 3, 1965	Opinion, Warren
federal_courts	United States v. Guest	Argued: November 9, 1965	Decided: March 28, 1966	Opinion, Stewart
federal_courts	Youngberg v. Romeo	Argued: January 11, 1982	Decided: June 18, 1982	Opinion, Powell
federal_courts	463 U.S. 1032	NA	NA	NA
federalism	Marbury v. Madison	Argued: 	Decided: 	Opinion, Marshall
federalism	United States v. Peters	Argued: 	Decided: 	Opinion, Marshall
federalism	Martin v. Hunter's Lessee	Argued: 	Decided: 	Opinion, Story
federalism	McCulloch v. Maryland	Argued: 	Decided: 	Opinion, Marshall
federalism	Cohens v. Virginia	Argued: 	Decided: 	Opinion, Marshall
federalism	Gibbons v. Ogden	Argued: 	Decided: 	Opinion, Marshall
federalism	Barron v. Mayor & City Council of Baltimore	Argued: 	Decided: 	Opinion, Marshall
federalism	Cooley v. Board of Wardens	Argued: 	Decided: 	Opinion, Curtis
federalism	Scott v. Sandford	Argued: 	Decided: 	Opinion, Taney
federalism	Slaughterhouse Cases	Argued: 	Decided: 	Opinion, Miller
federalism	Stearns v. Minnesota	Argued: October 16, 17, 1900	Decided: December 3, 1900	Opinion, Brewer
federalism	Northern Securities Co. v. United States	Argued: December 14, 15, 1903	Decided: March 14, 1904	Opinion, Harlan
federalism	Swift and Company v. United States	Argued: January 6, 7, 1905	Decided: January 30, 1905	Opinion, Holmes
federalism	Coyle v. Smith	Argued: April 15, 16, 1911	Decided: May 29, 1911	Opinion, Lurton
federalism	Gitlow v. People	Argued: April 12, 1923	Decided: June 8, 1925	Opinion, Sanford
federalism	United States v. Butler	Argued: December 9, 10, 1935	Decided: January 6, 1936	Opinion, Roberts
federalism	National Labor Relations Board v. Jones & Laughlin Steel Corp.	Argued: February 10, 11, 1937	Decided: April 12, 1937  [*]	Opinion, Hughes
federalism	Steward Machine Co. v. Collector of Internal Revenue	Argued: April 8, 9, 1937	Decided: May 24, 1937	Opinion, Cardozo
federalism	United States v. Carolene Products Co.	Argued: April 6, 1938	Decided: April 25, 1938	Opinion, Stone
federalism	Railroad Commission of Texas v. Pullman Company	Argued: February 4, 1941	Decided: March 3, 1941	Opinion, Frankfurter
federalism	Brown v. Board of Education	Argued: Argued December 9, 1952	Decided: Decided May 17, 1954	Opinion, Warren
federalism	Brown v. Board of Education	Argued: Reargued on the question of relief April 11-14, 1955	Decided: Opinion and judgments announced May 31, 1955	Opinion, Warren
federalism	Pennsylvania v. Nelson	Argued: November 15-16, 1955	Decided: April 2, 1956	Opinion, Warren
federalism	431 U.S. 1	NA	NA	NA
federalism	Maher v. Roe	Argued: January 11, 1977	Decided: June 20, 1977	Opinion, Powell
federalism	463 U.S. 1032	NA	NA	NA
federalism	521 U.S. 898	NA	NA	NA
federalism	527 U.S. 706	NA	NA	NA
federalism	528 U.S. 141	NA	NA	NA
federalism	United States v. Morrison	Argued: January 11, 2000	Decided: May 15, 2000	Opinion, Rehnquist
federalism	NA	NA	NA	NA
fifth_amendment	Barron v. Mayor & City Council of Baltimore	Argued: 	Decided: 	Opinion, Marshall
fifth_amendment	Adair v. United States	Argued: October 29, 30, 1907	Decided: January 27, 1908	Opinion, Harlan
fifth_amendment	Twining v. State	Argued: March 19, 20, 1908	Decided: November 9, 1908	Opinion, Moody
fifth_amendment	Chambers v. Florida	Argued: January 4, 1940	Decided: February 12, 1940	Opinion, Black
fifth_amendment	Adamson v. California	Argued: January 15-16, 1947	Decided: June 23, 1947	Opinion, Reed
fifth_amendment	Berman v. Parker	Argued: October 19, 1954	Decided: November 22, 1954	Opinion, Douglas
fifth_amendment	Ullmann v. United States	Argued: December 6, 1955	Decided: March 26, 1956	Opinion, Frankfurter
fifth_amendment	Slochower v. Board of Higher Education of New York City	Argued: October 18-19, 1955	Decided: April 9, 1956	Opinion, Clark
fifth_amendment	Mallory v. United States	Argued: April 1, 1957	Decided: June 24, 1957	Opinion, Frankfurter
fifth_amendment	Kent v. Dulles	Argued: April 10, 1958	Decided: June 16, 1958	Opinion, Douglas
fifth_amendment	Malloy v. Hogan	Argued: March 5, 1964	Decided: June 15, 1964	Opinion, Brennan
fifth_amendment	Albertson v. Subversive Activities Control Board	Argued: October 18, 1965	Decided: November 15, 1965	Opinion, Brennan
fifth_amendment	Miranda v. Arizona	Argued: February 28-March 1, 1966	Decided: June 13, 1966  [*]	Opinion, Warren
fifth_amendment	Warden v. Hayden	Argued: April 12, 1967	Decided: May 29, 1967	Opinion, Brennan
fifth_amendment	Williams v. Florida	Argued: March 4, 1970	Decided: June 22, 1970	Opinion, White
fifth_amendment	Harris v. New York	Argued: December 17, 1970	Decided: February 24, 1971	Opinion, Burger
fifth_amendment	Hampton v. Mow Sun Wong	Argued: January 13, 1975	Decided: June 1, 1976	Opinion, Stevens
fifth_amendment	Doyle v. Ohio	Argued: February 23, 1976	Decided: June 17, 1976  [*]	Opinion, Powell
fifth_amendment	Pruneyard Shopping Center v. Robins	Argued: March 18, 1980	Decided: June 9, 1980	Opinion, Rehnquist
fifth_amendment	Harris v. McRae	Argued: April 21, 1980	Decided: June 30, 1980	Opinion, Stewart
fifth_amendment	United States. Railroad Retirement Board v. Fritz	Argued: October 6, 1980	Decided: December 9, 1980	Opinion, Rehnquist
fifth_amendment	Bolger v. Youngs Drugs Prods. Corp.	Argued: January 12, 1983	Decided: June 24, 1983	Opinion, Marshall
fifth_amendment	Hawaii Housing Authority v. Midkiff	Argued: March 26, 1984	Decided: May 30, 1984  [*]	Opinion, O'Connor
fifth_amendment	483 U.S. 825	Argued: March 30, 1987	Decided: June 26, 1987	Opinion, Scalia
fifth_amendment	Arizona v. Fulminante	Argued: Oct. 10, 1990	Decided: March 26, 1991	Opinion, White
fifth_amendment	Rust v. Sullivan	Argued: Oct. 30, 1990	Decided: May 23, 1991	Opinion, Rehnquist
fifth_amendment	Adarand Constructors, Inc. v. Pena	Argued: January 17, 1995	Decided: 	Opinion, O'Connor
fifth_amendment	Reno v. ACLU	Argued: March 19, 1997	Decided: June 26, 1997	Opinion, Stevens
fifth_amendment	NA	NA	NA	NA
fighting_words	Chaplinsky v. New Hampshire	Argued: February 5, 1942	Decided: March 9, 1942	Opinion, Murphy
fighting_words	Street v. New York	Argued: October 21, 1968	Decided: April 21, 1969	Opinion, Harlan
first_amendment	Schenck v. United States	Argued: January 9, 10, 1919	Decided: March 3, 1919	Opinion, Holmes
first_amendment	Abrams v. United States	Argued: October 21, 22, 1919	Decided: November 10, 1919	Opinion, Clarke
first_amendment	Pierce v. Society of Sisters	Argued: March 16, 17, 1925	Decided: June 1, 1925	Opinion, Mcreynolds
first_amendment	Gitlow v. People	Argued: April 12, 1923	Decided: June 8, 1925	Opinion, Sanford
first_amendment	Whitney v. California	Argued: October 6, 1925	Decided: May 16, 1927	Opinion, Sanford
first_amendment	Stromberg v. California	Argued: April 15, 1931	Decided: May 18, 1931	Opinion, Hughes
first_amendment	Near v. Minnesota	Argued: January 30, 1931	Decided: June 1, 1931	Opinion, Hughes
first_amendment	Grosjean v. American Press Co., Inc.	Argued: January 14, 1936	Decided: February 10, 1936.	Opinion, Sutherland
first_amendment	De Jonge v. Oregon	Argued: December 9, 1936	Decided: January 4, 1937	Opinion, Hughes
first_amendment	Hague v. Committee for Industrial Organization	Argued: February 27, 28, 1939	Decided: June 5, 1939	Opinion, Roberts
first_amendment	Thornhill v. Alabama	Argued: February 29, 1940	Decided: April 22, 1940	Opinion, Murphy
first_amendment	Cantwell v. Connecticut	Argued: March 29, 1940	Decided: May 20, 1940	Opinion, Roberts
first_amendment	Minersville School District v. Board of Education	Argued: April 25, 1940	Decided: June 3, 1940	Opinion, Frankfurter
first_amendment	Chaplinsky v. New Hampshire	Argued: February 5, 1942	Decided: March 9, 1942	Opinion, Murphy
first_amendment	West Virginia State Board of Education v. Barnette	Argued: March 11, 1943	Decided: June 14, 1943	Opinion, Jackson
first_amendment	Marsh v. Alabama	Argued: December 6, 1945	Decided: January 7, 1946	Opinion, Black
first_amendment	Everson v. Board of Education of the Township of Ewing	Argued: November 20, 1946	Decided: February 10, 1947	Opinion, Black
first_amendment	Illinois ex rel. McCollum v. Board of Education of School District	Argued: December 8, 1947	Decided: March 8, 1948	Opinion, Black
first_amendment	339 U.S. 382	NA	NA	NA
first_amendment	Dennis v. United States	Argued: December 4, 1950	Decided: June 4, 1951	Opinion, Vinson
first_amendment	Adler v. Board of Education of City of New York	Argued: January 3, 1952	Decided: March 3, 1952	Opinion, Minton
first_amendment	Zorach v. Clauson	Argued: January 31	Decided: April 28, 1952	Opinion, Douglas
first_amendment	Joseph Burstyn, Inc. v. Wilson	Argued: April 24, 1952	Decided: May 26, 1952	Opinion, Clark
first_amendment	Yates v. United States	Argued: October 8-9, 1956	Decided: June 17, 1957  [*]	Opinion, Harlan
first_amendment	Roth v. United States	Argued: April 22, 1957	Decided: June 24, 1957  [*]	Opinion, Brennan
first_amendment	National Association for the Advancement of Colored People v. Patterson	Argued: January 15-16, 1958	Decided: June 30, 1958	Opinion, Harlan
first_amendment	Shelton v. Tucker	Argued: November 7, 1960	Decided: December 12, 1960  [*]	Opinion, Stewart
first_amendment	Communist Party of the United States v. Subversive Activities Control Bd. No. 12	Argued: October 11-12, 1960	Decided: 	Opinion, Frankfurter
first_amendment	Scales v. United States	Argued: April 29, 1959	Decided: June 5, 1961	Opinion, Harlan
first_amendment	Engel v. Vitale	Argued: April 3, 1962	Decided: June 25, 1962	Opinion, Black
first_amendment	National Association for the Advancement of Colored People v. Button	Argued: November 8,1961	Decided: January 14, 1963	Opinion, Brennan
first_amendment	Edwards v. South Carolina	Argued: December 13, 1962	Decided: February 25, 1963	Opinion, Stewart
first_amendment	School District of Abington Township, Pennsylvania v. Schempp	Argued: February 27-28, 1963	Decided: June 17, 1963 >GO>*	Opinion, Clark
first_amendment	Sherbert v. Verner	Argued: April 24, 1963	Decided: June 17, 1963	Opinion, Brennan
first_amendment	New York Times Co. v. Sullivan	Argued: January 6, 1964	Decided: March 9, 1964	Opinion, Brennan
first_amendment	Jacobellis v. Ohio	Argued: March 26, 1963	Decided: June 22, 1964	Opinion, Brennan
first_amendment	Cox v. Louisiana	Argued: October 21, 1964	Decided: January 18, 1965	Opinion, Goldberg
first_amendment	Cox v. Louisiana	Argued: October 21-22, 1964	Decided: January 18, 1965	Opinion, Goldberg
first_amendment	Albertson v. Subversive Activities Control Board	Argued: October 18, 1965	Decided: November 15, 1965	Opinion, Brennan
first_amendment	A Book Named "John Cleland's Memoirs of a Woman of Pleasure" v. Attorney General of Massachusetts	Argued: December 7-8, 1965	Decided: March 21, 1966	Opinion, Brennan
first_amendment	Bond v. Floyd	Argued: November 10, 1966	Decided: December 5, 1966	Opinion, Warren
first_amendment	Keyishian v. Board of Regents	Argued: November 17, 1966	Decided: January 23, 1967	Opinion, Brennan
first_amendment	388 U.S. 130	NA	NA	NA
first_amendment	Amalgamated Food Employees Union Local 590 v. Logan Valley Plaza, Inc.	Argued: March 14, 1968	Decided: May 20, 1968	Opinion, Marshall
first_amendment	391 U.S. 367	NA	NA	NA
first_amendment	Board of Education v. Allen	Argued: April 22, 1968	Decided: June 10, 1968	Opinion, White
first_amendment	Epperson v. Arkansas	Argued: October 16, 1968	Decided: November 12, 1968	Opinion, Fortas
first_amendment	Tinker v. Des Moines Independent Community School Dist.	Argued: November 12, 1968	Decided: February 24, 1969	Opinion, Fortas
first_amendment	Stanley v. Georgia	Argued: January 14-15, 1969	Decided: April 7, 1969	Opinion, Marshall
first_amendment	Brandenburg v. Ohio	Argued: February 27, 1969	Decided: June 9, 1969	NA
first_amendment	Rowan v. United States Post Office Department	Argued: January 22, 1970	Decided: May 4, 1970	Opinion, Burger
first_amendment	Younger v. Harris	Argued: April 1, 1969	Decided: February 23, 1971	Opinion, Black
first_amendment	Cohen v. California	Argued: February 22, 1971	Decided: June 7, 1971	Opinion, Harlan
first_amendment	Rosenbloom v. Metromedia	Argued: December 7, 1970	Decided: June 7, 1971	Opinion, Brennan
first_amendment	Lemon v. Kurtzman	Argued: March 3, 1971	Decided: June 28, 1971  [*]	Opinion, Burger
first_amendment	New York Times Co. v. United States	Argued: June 26, 1971	Decided: June 30, 1971 [*]	NA
first_amendment	Lloyd Corp., Ltd. v. Tanner	Argued: April 18, 1972	Decided: June 22, 1972	Opinion, Powell
first_amendment	Branzburg v. Hayes	Argued: February 23, 1972	Decided: June 29, 1972*	Opinion, White
first_amendment	413 U.S. 15	NA	NA	NA
first_amendment	Paris Adult Theatre I v. Slaton	Argued: October 19, 1972	Decided: June 21, 1973	Opinion, Burger
first_amendment	Pittsburgh Press Co. v. Pittsburgh Commission on Human Relations	Argued: March 20, 1973	Decided: June 21, 1973	Opinion, Powell
first_amendment	Communist Party of Indiana v. Whitcomb	Argued: October 16, 1973	Decided: January 9, 1974	Opinion, Brennan
first_amendment	415 U.S. 361	NA	NA	NA
first_amendment	418 U.S. 153	NA	NA	NA
first_amendment	Gertz v. Robert Welch, Inc.	Argued: November 14, 1973	Decided: June 25, 1974	Opinion, Powell
first_amendment	422 U.S. 205	NA	NA	NA
first_amendment	424 U.S. 828	NA	NA	NA
first_amendment	427 U.S. 50	NA	NA	NA
first_amendment	Wooley v. Maynard	Argued: November 29, 1976	Decided: April 20, 1977	Opinion, Burger
first_amendment	Linmark Associates, Inc. v. Township of Willingboro	Argued: March 2, 1977	Decided: May 2, 1977	Opinion, Marshall
first_amendment	Bates v. State Bar of Arizona	Argued: January 18, 1977	Decided: June 27, 1977	Opinion, Blackmun
first_amendment	Pruneyard Shopping Center v. Robins	Argued: March 18, 1980	Decided: June 9, 1980	Opinion, Rehnquist
first_amendment	Central Hudson Gas & Elec. Corp. v. Public Service Comm'n	Argued: March 17, 1980	Decided: June 20, 1980	Opinion, Powell
